estado;clube;clube_canonical
pernambuco;RETRÔ;Retrô Futebol Clube Brasil
pernambuco;SALGUEIRO;Salgueiro Atlético Clube
pernambuco;SANTA CRUZ;Santa Cruz Futebol Clube
pernambuco;SANTA FÉ;Santa Fé Futebol Clube
pernambuco;SERRANO;Serrano Futebol Clube
pernambuco;SETE DE SETEMBRO;Sete de Setembro Esporte Clube
pernambuco;SPORT;Sport Club do Recife
pernambuco;TIMBAÚBA;Timbaúba Futebol Clube
pernambuco;TORRES BRASIL;Torres Brasil
pernambuco;VERA CRUZ;Vera Cruz Futebol Clube
pernambuco;VITÓRIA DAS TABOCAS;Associação Desportiva Vitória
pernambuco;YPIRANGA;Ypiranga Futebol Clube
pernambuco;ÁGUIA DE CUMARU;Águia de Cumaru
pernambuco;ÍBIS;Íbis Sport Club
piaui;4 DE JULHO;4 de Julho Esporte Clube
piaui;ALTOS;Associação Atlética de Altos
piaui;ATLÉTICO PIAUIENSE;Atlético Piauiense
piaui;CAIÇARA;Caiçara Esporte Clube
piaui;COMERCIAL;Comercial Atlético Clube
piaui;CORISABBÁ;Associação Atlética Corisabbá
piaui;FERROVIÁRIO;Ferroviário Atlético Clube
piaui;FLAMENGO;Esporte Clube Flamengo
piaui;FLUMINENSE;Fluminense Esporte Clube
piaui;OEIRENSE;Associação Atlética Oeirense
piaui;PARNAHYBA;Parnahyba Sport Club
piaui;PIAUÍ;Piauí Esporte Clube
piaui;PICOS;Sociedade Esportiva de Picos
piaui;RÍVER;Ríver Atlético Clube
piaui;TERESINA;Teresina Esporte Clube
piaui;TIMON;Esporte Clube Timon
piaui;TIRADENTES;Associação Atlética Tiradentes
rio_de_janeiro;7 DE ABRIL;7 de Abril Futebol Clube
rio_de_janeiro;AMERICA;America Football Club
rio_de_janeiro;AMERICANO;Americano Futebol Clube
rio_de_janeiro;ANGRA DOS REIS;Angra dos Reis Esporte Clube
rio_de_janeiro;ARARUAMA;Araruama Futebol Clube
rio_de_janeiro;ARRAIAL DO CABO;Arraial do Cabo Esporte Clube
rio_de_janeiro;ATLÉTICO CARIOCA;Atlético Carioca
rio_de_janeiro;AUDAX RIO;Audax Rio
rio_de_janeiro;BANGU;Bangu Atlético Clube
rio_de_janeiro;BARCELONA;Barcelona Esporte Clube
rio_de_janeiro;BARRA DA TIJUCA;Sociedade Esportiva Barra da Tijuca
rio_de_janeiro;BARRA MANSA;Barra Mansa Futebol Clube
rio_de_janeiro;BELA VISTA;Bela Vista Futebol Clube
rio_de_janeiro;BELFORD ROXO;Sociedade Esportiva Belford Roxo
rio_de_janeiro;BOAVISTA;Boavista Sport Club
rio_de_janeiro;BONSUCESSO;Bonsucesso Futebol Clube
rio_de_janeiro;BOTAFOGO;Botafogo de Futebol e Regatas
rio_de_janeiro;BRASILEIRINHO;Brasileirinho Clube de Futebol
rio_de_janeiro;BRÉSCIA;Bréscia Futebol Clube
rio_de_janeiro;BÚZIOS;Sociedade Esportiva Búzios
rio_de_janeiro;CAAC BRASIL;Centro de Aprendizado e Apoio ao Craque Brasil
rio_de_janeiro;CABOFRIENSE;Associação Desportiva Cabofriense
rio_de_janeiro;CAMPO GRANDE;Campo Grande Atlético Clube
rio_de_janeiro;CAMPOS;Campos Associação Atlética
rio_de_janeiro;CARAPEBUS;Carapebus Esporte Clube
rio_de_janeiro;CASIMIRO DE ABREU;Casimiro de Abreu Esporte Clube
rio_de_janeiro;CERES;Ceres Futebol Clube
rio_de_janeiro;DUQUE CAXIENSE;Duque Caxiense Futebol Clube
rio_de_janeiro;DUQUE DE CAXIAS;Esporte Clube Duque de Caxias
rio_de_janeiro;FLAMENGO;Clube de Regatas do Flamengo
rio_de_janeiro;FLUMINENSE;Fluminense Football Club
rio_de_janeiro;FRIBURGUENSE;Friburguense Atlético Clube
rio_de_janeiro;GONÇALENSE;Petrópolis Futebol Clube
rio_de_janeiro;GOYTACAZ;Goytacaz Futebol Clube
rio_de_janeiro;IMPÉRIO SERRANO;Império Serrano
rio_de_janeiro;INDEPENDENTE;Independente Esporte Clube
rio_de_janeiro;ITABORAÍ PROFUTE;Itaboraí Profute Futebol Clube
rio_de_janeiro;JUVENTUS;Juventus Futebol Clube
rio_de_janeiro;MACAÉ;Macaé Esporte Futebol Clube
rio_de_janeiro;MADUREIRA;Madureira Esporte Clube
rio_de_janeiro;MAGEENSE;Mageense Futebol Clube
rio_de_janeiro;MARICÁ;Maricá Futebol Clube
rio_de_janeiro;MESQUITA;Mesquita Futebol Clube
rio_de_janeiro;NITEROIENSE;Niterói Futebol Clube
rio_de_janeiro;NOVA CIDADE;Nova Cidade Futebol Clube
rio_de_janeiro;NOVA IGUAÇU;Nova Iguaçu Futebol Clube
rio_de_janeiro;OLARIA;Olaria Atlético Clube
rio_de_janeiro;PADUANO;Paduano Esporte Clube
rio_de_janeiro;PARATY;Paraty Esporte Clube
rio_de_janeiro;PARAÍBA DO SUL;Paraíba do Sul Futebol Clube
rio_de_janeiro;PETRÓPOLIS;Petrópolis Futebol Clube
rio_de_janeiro;PORTUGUESA;Associação Atlética Portuguesa
rio_de_janeiro;PÉROLAS NEGRAS;Academia Pérolas Negras
rio_de_janeiro;QUEIMADOS;Queimados Futebol Clube
rio_de_janeiro;RESENDE;Resende Futebol Clube
rio_de_janeiro;RIO DE JANEIRO;Rio de Janeiro Esporte Clube
rio_de_janeiro;RIO SÃO PAULO;Rio São Paulo Futebol Clube
rio_de_janeiro;RIOSTRENSE;Associação Esportiva Riostrense
rio_de_janeiro;SAMPAIO CORRÊA;Sampaio Corrêa Futebol e Esporte
rio_de_janeiro;SANTA CRUZ;Santa Cruz Futebol Clube
rio_de_janeiro;SERRA MACAENSE;Serra Macaense Futebol Clube
rio_de_janeiro;SERRANO;Serrano Football Club
rio_de_janeiro;SÃO CRISTÓVÃO;São Cristóvão de Futebol e Regatas
rio_de_janeiro;SÃO GONÇALO;São Gonçalo Esporte Clube
rio_de_janeiro;SÃO JOSÉ DE ITAPERUNA;São José Esporte Clube
rio_de_janeiro;TIGRES DO BRASIL;Esporte Clube Tigres do Brasil
rio_de_janeiro;UNI SOUZA;Uni Souza Futebol Clube
rio_de_janeiro;UNIVASSOURAS ARTSUL;Univassouras Artsul Futebol Clube
rio_de_janeiro;UNIÃO CENTRAL;UNIÃO CENTRAL
rio_de_janeiro;VASCO;Club de Regatas Vasco da Gama
rio_de_janeiro;VASCO DA GAMA;Club de Regatas Vasco da Gama
rio_de_janeiro;VERA CRUZ;Vera Cruz Futebol Clube
rio_de_janeiro;VOLTA REDONDA;Volta Redonda Futebol Clube
rio_de_janeiro;ZINZA;Zinza Futebol Clube
rio_grande_do_norte;ABC;ABC Futebol Clube
rio_grande_do_norte;ALECRIM;Alecrim Futebol Clube
rio_grande_do_norte;AMÉRICA;América Futebol Clube
rio_grande_do_norte;ASSU;Associação Sportiva Sociedade Unida
rio_grande_do_norte;BARAÚNAS;Associação Cultural e Desportiva Baraúnas
rio_grande_do_norte;FORÇA E LUZ;Força e Luz
rio_grande_do_norte;GLOBO;Globo
rio_grande_do_norte;LAGUNA;Laguna
rio_grande_do_norte;MOSSORÓ;Mossoró
rio_grande_do_norte;PALMEIRA DE GOIANINHA;Palmeira de Goianinha
rio_grande_do_norte;PARNAMIRIM;Parnamirim
rio_grande_do_norte;POTENGI;Potyguar de Currais Novos
rio_grande_do_norte;POTIGUAR;Associação Cultural e Desportiva Potiguar
rio_grande_do_norte;POTYGUAR SERIDOENSE;Potyguar Seridoense
rio_grande_do_norte;QFC;QFC
rio_grande_do_norte;RIACHUELO;Riachuelo Atlético Clube
rio_grande_do_norte;RIO GRANDE;Sport Club Rio Grande
rio_grande_do_norte;SANTA CRUZ DE NATAL;Santa Cruz de Natal
rio_grande_do_norte;UNIVAP APODI;Univap Apodi
rio_grande_do_norte;VISÃO CELESTE;Visão Celeste
rio_grande_do_sul;12 HORAS;12 Horas
rio_grande_do_sul;AIMORÉ;Aimoré
rio_grande_do_sul;APAFUT;Apafut
rio_grande_do_sul;ATLÉTICO;Atlético de Carazinho
rio_grande_do_sul;AVENIDA;Esporte Clube Avenida
rio_grande_do_sul;BAGÉ;Grêmio Esportivo Bagé
rio_grande_do_sul;BRASIL;Grêmio Esportivo Brasil
rio_grande_do_sul;BRASIL DE FARROUPILHA;Sociedade Esportiva e Recreativa Brasil
rio_grande_do_sul;CAXIAS;Sociedade Esportiva e Recreativa Caxias do Sul
rio_grande_do_sul;CLUBE 1992;Clube 1992
rio_grande_do_sul;CRUZEIRO;Esporte Clube Cruzeiro
rio_grande_do_sul;ELITE CD;Elite Clube Desportivo
rio_grande_do_sul;ESPORTIVO;Clube Esportivo de Bento Gonçalves
rio_grande_do_sul;FARROUPILHA;Grêmio Atlético Farroupilha
rio_grande_do_sul;FUTEBOL COM VIDA;Futebol Com Vida SAF
rio_grande_do_sul;GARIBALDI;Garibaldi Esporte Clube
rio_grande_do_sul;GAÚCHO;Sport Club Gaúcho
rio_grande_do_sul;GE BRASIL;Grêmio Esportivo Brasil
rio_grande_do_sul;GLÓRIA;Grêmio Esportivo Glória
rio_grande_do_sul;GRAMADENSE;Esporte Clube Gramadense
rio_grande_do_sul;GRÊMIO;Grêmio Foot-Ball Porto Alegrense
rio_grande_do_sul;GRÊMIO B;Grêmio Foot-Ball Porto Alegrense
rio_grande_do_sul;GRÊMIO S23;Grêmio Foot-Ball Porto Alegrense
rio_grande_do_sul;GUARANI V. AIRES;Esporte Clube Guarani
rio_grande_do_sul;GUARANY;Esporte Clube Guarany
rio_grande_do_sul;GUARANY DE BAGÉ;Esporte Clube Guarany
rio_grande_do_sul;IGREJINHA;Esporte Clube Igrejinha
rio_grande_do_sul;INTER SM;Inter de Santa Maria
rio_grande_do_sul;INTERNACIONAL;Sport Club Internacional
rio_grande_do_sul;INTERNACIONAL B;Sport Club Internacional
rio_grande_do_sul;JUVENTUDE;Esporte Clube Juventude
rio_grande_do_sul;JUVENTUDE B;Esporte Clube Juventude
rio_grande_do_sul;LAJEADENSE;Clube Esportivo Lajeadense
rio_grande_do_sul;MARAU;Sport Club Marau
rio_grande_do_sul;MONSOON;Monsoon Futebol Clube
rio_grande_do_sul;NOVA PRATA;Associação Nova Prata de Esportes
rio_grande_do_sul;NOVO HAMBURGO;Esporte Clube Novo Hamburgo
rio_grande_do_sul;NOVO HORIZONTE;Novo Horizonte Futebol Clube
rio_grande_do_sul;PASSO FUNDO;Esporte Clube Passo Fundo
rio_grande_do_sul;PELOTAS;Esporte Clube Pelotas
rio_grande_do_sul;PRS;PRS Futebol Clube
rio_grande_do_sul;REAL SPORT CLUB;Real Sport Club
rio_grande_do_sul;RIO GRANDE;Sport Club Rio Grande
rio_grande_do_sul;RIOGRANDENSE;Esporte Clube Riograndense
rio_grande_do_sul;RIOPARDENSE;Esporte Clube Riopardense
rio_grande_do_sul;SANTA CRUZ;Futebol Clube Santa Cruz
rio_grande_do_sul;SANTO ÂNGELO;Esporte Clube Santo Ângelo
rio_grande_do_sul;SAPUCAIENSE;Futebol Clube Sapucaiense
rio_grande_do_sul;SER CRUZ ALTA;Sociedade Esportiva e Recreativa Cruz Alta
rio_grande_do_sul;SÃO BORJA;Associação Esportiva São Borja
rio_grande_do_sul;SÃO GABRIEL;Esporte Clube São Gabriel
rio_grande_do_sul;SÃO JOSÉ;Esporte Clube São José
rio_grande_do_sul;SÃO LUIZ;Esporte Clube São Luiz
rio_grande_do_sul;SÃO PAULO;Sport Club São Paulo
rio_grande_do_sul;TRÊS PASSOS;Três Passos Atlético Clube
rio_grande_do_sul;UNIÃO FREDERIQUENSE;União Frederiquense de Futebol
rio_grande_do_sul;UNIÃO HARMONIA;União Harmonia Futebol Clube
rio_grande_do_sul;YPIRANGA;Ypiranga de Erechim
rondonia;BARCELONA;Barcelona Futebol Clube
rondonia;GAZIN PORTO VELHO;Porto Velho Esporte Clube
rondonia;GENUS;Sport Club Genus de Porto Velho
rondonia;GUAJARÁ;Guajará Esporte Clube
rondonia;GUAPORÉ;Associação Desportiva Guaporé
rondonia;JI-PARANÁ;Ji-Paraná Futebol Clube
rondonia;PIMENTENSE;Sociedade Esportiva Pimentense
rondonia;PORTO VELHO;Porto Velho Esporte Clube
rondonia;PORTO VELHO ESPORTE CLUBE;Porto Velho Esporte Clube
rondonia;REAL ARIQUEMES;Real Ariquemes Esporte Clube
rondonia;ROLIM DE MOURA;Rolim de Moura Esporte Clube
rondonia;RONDONIENSE;Rondoniense Social Clube
rondonia;UNIÃO CACOALENSE;Sociedade Esportiva União Cacoalense
rondonia;VILHENA;Vilhena Esporte Clube
rondonia;VILHENENSE;Vilhenense Esportivo Clube
roraima;ATLÉTICO RORAIMA;Atlético Roraima Clube
roraima;BARÉ;Baré Esporte Clube
roraima;G.A.S;Grêmio Atlético Sampaio
roraima;GAS;Grêmio Atlético Sampaio
roraima;MONTE RORAIMA;Atlético Monte Roraima
roraima;NÁUTICO;Atlético Roraimense
roraima;PROGRESSO;Progresso Futebol Clube
roraima;REAL;Real Esporte Clube
roraima;RIO NEGRO;Atlético Rio Negro Clube
roraima;RIVER;River Esporte Clube
roraima;SAMPAIO;Sampaio Esporte Clube
roraima;SÃO RAIMUNDO;São Raimundo Esporte Clube
santa_catarina;ATLÉTICO BATISTENSE;Atlético Batistense
santa_catarina;ATLÉTICO CATARINENSE;Atlético Catarinense
santa_catarina;ATLÉTICO ITAJAÍ;Clube Atlético Itajaí
santa_catarina;ATLÉTICO TUBARÃO;Clube Atlético Tubarão
santa_catarina;AVAÍ;Avaí Futebol Clube
santa_catarina;AVAÍ B;Avaí Futebol Clube
santa_catarina;BARRA;Barra Futebol Clube
santa_catarina;BLUMENAU;Blumenau Esporte Clube
santa_catarina;BRUSQUE;Brusque Futebol Clube
santa_catarina;CAMBORIÚ;Camboriú Futebol Clube
santa_catarina;CANOINHAS;Canoinhas Atlético Clube
santa_catarina;CARAVAGGIO;Caravaggio Futebol Clube
santa_catarina;CARLOS RENAUX;Clube Atlético Carlos Renaux
santa_catarina;CAÇADOR;Caçador Atlético Clube
santa_catarina;CHAPECOENSE;Associação Chapecoense de Futebol
santa_catarina;CHAPECOENSE B;Associação Chapecoense de Futebol
santa_catarina;CONCORDIA ATLÉTICO CLUBE;Concórdia Atlético Clube
santa_catarina;CONCÓRDIA;Concórdia Atlético Clube
santa_catarina;CRICIÚMA;Criciúma Esporte Clube
santa_catarina;CRICIÚMA B;Criciúma Esporte Clube
santa_catarina;FIGUEIRENSE;Figueirense Futebol Clube
santa_catarina;FLUMINENSE DE JOINVILLE;Fluminense Futebol Clube
santa_catarina;GUARANI;Guarani de Palhoça
santa_catarina;HERCÍLIO LUZ;Hercílio Luz Futebol Clube
santa_catarina;IMBITUBA;Centro Esportivo Recreativo e Cultural Imbituba
santa_catarina;INTER DE LAGES;Esporte Clube Internacional
santa_catarina;JARAGUÁ;Jaraguá
santa_catarina;JOINVILLE;Joinville
santa_catarina;JUVENTUS;Juventus
santa_catarina;JUVENTUS JARAGUÁ;Juventus
santa_catarina;MARCÍLIO DIAS;Marcílio Dias
santa_catarina;METROPOLITANO;Metropolitano
santa_catarina;NAVEGANTES;Navegantes Esporte Clube
santa_catarina;NAÇÃO;Nação Esportes
santa_catarina;ORLEANS;Orleans Esporte Clube
santa_catarina;PEDRA BRANCA;Pedra Branca Esporte Clube
santa_catarina;PORTO;Associação Porto União
santa_catarina;PRÓSPERA;Esporte Clube Próspera
santa_catarina;SANTA CATARINA;Santa Catarina Clube
santa_catarina;TUBARÃO;Clube Atlético Tubarão
sao_paulo;AMPARO;Amparo Athlético Club
sao_paulo;AMÉRICA;América Futebol Clube
sao_paulo;ANDRADINA;Andradina Esporte Clube
sao_paulo;ARAÇATUBA;Atlético Araçatuba
sao_paulo;ASSISENSE;Associação Esportiva Santacruzense
sao_paulo;ATIBAIA;Sport Club Atibaia
sao_paulo;ATLÉTICO MOGI;Atlético Mogi
sao_paulo;BANDEIRANTE;Bandeirante Esporte Clube
sao_paulo;BARCELONA ESPORTIVO;Barcelona Esportivo Capela
sao_paulo;BARRETOS;Barretos Esporte Clube
sao_paulo;BATATAIS;Batatais Futebol Clube
sao_paulo;BOTAFOGO;Botafogo Futebol Clube
sao_paulo;BRASILIS;Brasilis Futebol Clube
sao_paulo;CA VOTUPORANGUENSE;Clube Atlético Votuporanguense
sao_paulo;CAPIVARIANO;Capivariano Futebol Clube
sao_paulo;CATANDUVA;Catanduva Futebol Clube
sao_paulo;COLORADO CAIEIRAS;Colorado Caieiras
sao_paulo;COMERCIAL;Comercial Futebol Clube
sao_paulo;CORINTHIANS;Sport Club Corinthians Paulista
sao_paulo;DESPORTIVO BRASIL;Desportivo Brasil
sao_paulo;ECUS;Esporte Clube União Suzano
sao_paulo;ELOSPORT CAPÃO BONITO;Elosport Capão Bonito
sao_paulo;FERNANDÓPOLIS;Fernandópolis Futebol Clube
sao_paulo;FERROVIÁRIA;Associação Ferroviária de Esportes
sao_paulo;FLAMENGO;Associação Atlética Flamengo
sao_paulo;FRANCANA;Associação Atlética Francana
sao_paulo;GRÊMIO MAUAENSE;Grêmio Esportivo Mauaense
sao_paulo;GRÊMIO NOVORIZONTINO;Grêmio Novorizontino
sao_paulo;GRÊMIO OSASCO;Grêmio Esportivo Osasco
sao_paulo;GRÊMIO PRUDENTE;Grêmio Prudente
sao_paulo;GRÊMIO SÃO-CARLENSE;Grêmio São-Carlense
sao_paulo;GUARANI;Guarani
sao_paulo;GUARULHOS;Associação Atlética Flamengo (Guarulhos)
sao_paulo;INDEPENDENTE DE LIMEIRA;Independente de Limeira
sao_paulo;INTER DE BEBEDOURO;Associação Atlética Internacional (Bebedouro)
sao_paulo;INTER DE LIMEIRA;Associação Atlética Internacional (Limeira)
sao_paulo;ITAPIRENSE;Sociedade Esportiva Itapirense
sao_paulo;ITARARÉ;Associação Atlética Itararé
sao_paulo;ITUANO;Ituano Futebol Clube
sao_paulo;JABAQUARA;Jabaquara Atlético Clube
sao_paulo;JOSEENSE;Jacareí Futebol Clube
sao_paulo;JUVENTUS;Clube Atlético Juventus
sao_paulo;LEMENSE;Esporte Clube Lemense
sao_paulo;LINENSE;Clube Atlético Linense
sao_paulo;MANTHIQUEIRA;Associação Desportiva Manthiqueira
sao_paulo;MARÍLIA;Marília Atlético Clube
sao_paulo;MATONENSE;Sociedade Esportiva Matonense
sao_paulo;MAUÁ;Mauá Futebol Clube
sao_paulo;MIRASSOL;Mirassol Futebol Clube
sao_paulo;MOGI MIRIM;Mogi Mirim Esporte Clube
sao_paulo;MONTE AZUL;Atlético Monte Azul
sao_paulo;NACIONAL;Nacional Atlético Clube
sao_paulo;NOROESTE;Esporte Clube Noroeste
sao_paulo;NOVORIZONTINO;Grêmio Novorizontino
sao_paulo;OESTE;Oeste Futebol Clube
sao_paulo;OLÍMPIA;Olímpia Futebol Clube
sao_paulo;OSASCO;Grêmio Osasco Audax
sao_paulo;OSASCO AUDAX;Grêmio Osasco Audax
sao_paulo;OSVALDO CRUZ;Osvaldo Cruz Futebol Clube
sao_paulo;PALMEIRAS;Sociedade Esportiva Palmeiras
sao_paulo;PAULISTA;Paulista Futebol Clube
sao_paulo;PENAPOLENSE;Clube Atlético Penapolense
sao_paulo;PONTE PRETA;Associação Atlética Ponte Preta
sao_paulo;PORTUGUESA;Associação Portuguesa de Desportos
sao_paulo;PORTUGUESA SANTISTA;Associação Atlética Portuguesa
sao_paulo;PRIMAVERA;Esporte Clube Primavera
sao_paulo;RED BULL BRAGANTINO;Red Bull Bragantino
sao_paulo;RED BULL BRAGANTINO II;Red Bull Bragantino II
sao_paulo;RED BULL BRASIL;Red Bull Brasil
sao_paulo;RIO BRANCO;Rio Branco Esporte Clube
sao_paulo;RIO CLARO;Rio Claro Futebol Clube
sao_paulo;RIO PRETO;Rio Preto Esporte Clube
sao_paulo;SANTACRUZENSE;Esporte Clube Santacruzense
sao_paulo;SANTO ANDRÉ;Esporte Clube Santo André
sao_paulo;SANTOS;Santos Futebol Clube
sao_paulo;SERTÃOZINHO;Sertãozinho Futebol Clube
sao_paulo;SKA BRASIL;SKA Brasil
sao_paulo;SPORT ATIBAIA;SPORT ATIBAIA
sao_paulo;SÃO BENTO;Esporte Clube São Bento
sao_paulo;SÃO BERNARDO;São Bernardo Futebol Clube
sao_paulo;SÃO CAETANO;Associação Desportiva São Caetano
sao_paulo;SÃO CARLOS;São Carlos Futebol Clube
sao_paulo;SÃO JOSÉ;São José Esporte Clube
sao_paulo;SÃO PAULO;São Paulo Futebol Clube
sao_paulo;TANABI;Tanabi Esporte Clube
sao_paulo;TAQUARITINGA;Clube Atlético Taquaritinga
sao_paulo;TAUBATÉ;Esporte Clube Taubaté
sao_paulo;TUPÃ;Tupã Futebol Clube
sao_paulo;UNIÃO BARBARENSE;União Barbarense
sao_paulo;UNIÃO MOGI;União Mogi
sao_paulo;UNIÃO SUZANO;União Suzano
sao_paulo;UNIÃO SÃO JOÃO;União São João
sao_paulo;VELO CLUBE;Velo Clube
sao_paulo;VOCEM;VOCEM
sao_paulo;VOTUPORANGUENSE;Clube Atlético Votuporanguense
sao_paulo;XV DE JAÚ;Esporte Clube XV de Novembro de Jaú
sao_paulo;XV DE PIRACICABA;Esporte Clube XV de Novembro de Piracicaba
sao_paulo;ÁGUA SANTA;Esporte Clube Água Santa
sergipe;AD CARMÓPOLIS;Associação Desportiva Carmópolis
sergipe;AMADENSE;Amadense Esporte Clube
sergipe;AMÉRICA;América de Propriá
sergipe;AMÉRICA DE PEDRINHAS;América de Pedrinhas
sergipe;ARACAJU;Aracaju Futebol Clube
sergipe;ATLÉTICO CENTRAL;Atlético Central
sergipe;ATLÉTICO GLORIENSE;Atlético Gloriense
sergipe;BARRA;Barra dos Coqueiros
sergipe;BOCA JÚNIOR;Associação Desportiva Boca Júnior Futebol Clube
sergipe;BOQUINHENSE;Sociedade Boca Júnior Futebol Clube
sergipe;BOTAFOGO;Botafogo Associação Sergipana de Futebol
sergipe;CANINDÉ;Canindé Esporte Clube
sergipe;CONFIANÇA;Associação Desportiva Confiança
sergipe;CORITIBA;Coritiba Foot Ball Club
sergipe;COTINGUIBA;Cotinguiba Esporte Clube
sergipe;DESPORTIVA ARACAJU;Associação Desportiva Aracaju
sergipe;DORENSE;Dorense Futebol Clube
sergipe;ESTANCIANO;Estanciano Esporte Clube
sergipe;FALCON;Falcon Futebol Clube
sergipe;FLAMENGO;Associação Desportiva Flamengo
sergipe;FORÇA JOVEM AQUIDABÃ;Força Jovem Aquidabã
sergipe;FREI PAULISTANO;Associação Desportiva Frei Paulistano
sergipe;GUARANY;Associação Desportiva Atlética Guarany
sergipe;INDEPENDENTE;Independente Futebol Clube
sergipe;ITABAIANA;Associação Olímpica de Itabaiana
sergipe;LAGARTO;Lagarto Futebol Clube
sergipe;MARUINENSE;Club Sportivo Maruinense
sergipe;OLÍMPICO;Olímpico Esporte Clube
sergipe;PROPRIÁ;Esporte Clube Propriá
sergipe;RIACHÃO;Riachão Esporte Clube
sergipe;SANTA CRUZ RIACHUELO;Santa Cruz Esporte Clube
sergipe;SERGIPE;Club Sportivo Sergipe
sergipe;SETE DE JUNHO;Sete de Junho Esporte Clube
sergipe;SOCORRENSE;SOCORRENSE
sergipe;SOCORRO;Socorro Sport Club
tocantins;ALVORADA;Alvorada Esporte Clube
tocantins;ARAGUACEMA;Araguacema Futebol Clube
tocantins;ARAGUAIA DE PALMAS;Araguaia de Palmas
tocantins;ARAGUAÍNA;Araguaína Futebol e Regatas
tocantins;ARSENAL;Arsenal Esporte Clube
tocantins;ATLÉTICO CERRADO;Atlético Cerrado
tocantins;BATALHÃO;Batalhão Futebol Clube
tocantins;BELA VISTA;Bela Vista Futebol Clube
tocantins;CAPITAL;Capital Futebol Clube
tocantins;CENTRAL PARAÍSO;Central Paraíso Esporte Clube
tocantins;COLINAS;Colinas Esporte Clube
tocantins;GUARAÍ;Sport Club Guaraí
tocantins;GURUPI;Gurupi Esporte Clube
tocantins;INTERPORTO;Interporto Futebol Clube
tocantins;MIRANORTE;Miranorte Esporte Clube
tocantins;NOVA CONQUISTA;Nova Conquista Esporte Clube
tocantins;PALMAS;Palmas Futebol e Regatas
tocantins;PARAÍSO;Paraíso Esporte Clube
tocantins;SPARTA;Sparta Futebol Clube
tocantins;SÃO JOSÉ;São José Esporte Clube
tocantins;TAQUARUSSÚ;Taquarussú Esporte Clube
tocantins;TOCANTINS MIRACEMA;Tocantins Esporte Clube
tocantins;TOCANTINÓPOLIS;Tocantinópolis Esporte Clube
tocantins;UNIÃO ATLÉTICA ARAGUAINENSE;União Atlética Araguainense
tocantins;UNIÃO ATLÉTICO;União Atlética Araguainense
tocantins;UNIÃO ATLÉTICO CLUBE;União Atlética Araguainense
tocantins;UNIÃO DE PALMAS;União Atlética de Palmas
