estado;clube;clube_canonical;cidade;latitude;longitude
pernambuco;RETRÔ;RETRÔ;;;
pernambuco;SALGUEIRO;SALGUEIRO;;;
pernambuco;SANTA CRUZ;SANTA CRUZ;;;
pernambuco;SANTA FÉ;SANTA FÉ;;;
pernambuco;SERRANO;SERRANO;;;
pernambuco;SETE DE SETEMBRO;SETE DE SETEMBRO;;;
pernambuco;SPORT;SPORT;;;
pernambuco;TIMBAÚBA;TIMBAÚBA;;;
pernambuco;TORRES BRASIL;TORRES BRASIL;;;
pernambuco;VERA CRUZ;VERA CRUZ;;;
pernambuco;VITÓRIA DAS TABOCAS;VITÓRIA DAS TABOCAS;;;
pernambuco;YPIRANGA;YPIRANGA;;;
pernambuco;ÁGUIA DE CUMARU;ÁGUIA DE CUMARU;;;
pernambuco;ÍBIS;ÍBIS;;;
piaui;4 DE JULHO;4 DE JULHO;;;
piaui;ALTOS;ALTOS;;;
piaui;ATLÉTICO PIAUIENSE;ATLÉTICO PIAUIENSE;;;
piaui;CAIÇARA;CAIÇARA;;;
piaui;COMERCIAL;COMERCIAL;;;
piaui;CORISABBÁ;CORISABBÁ;;;
piaui;FERROVIÁRIO;FERROVIÁRIO;;;
piaui;FLAMENGO;FLAMENGO;;;
piaui;FLUMINENSE;FLUMINENSE;;;
piaui;OEIRENSE;OEIRENSE;;;
piaui;PARNAHYBA;PARNAHYBA;;;
piaui;PIAUÍ;PIAUÍ;;;
piaui;PICOS;PICOS;;;
piaui;RÍVER;RÍVER;;;
piaui;TERESINA;TERESINA;;;
piaui;TIMON;TIMON;;;
piaui;TIRADENTES;TIRADENTES;;;
rio_de_janeiro;7 DE ABRIL;7 DE ABRIL;;;
rio_de_janeiro;AMERICA;AMERICA;;;
rio_de_janeiro;AMERICANO;AMERICANO;;;
rio_de_janeiro;ANGRA DOS REIS;ANGRA DOS REIS;;;
rio_de_janeiro;ARARUAMA;ARARUAMA;;;
rio_de_janeiro;ARRAIAL DO CABO;ARRAIAL DO CABO;;;
rio_de_janeiro;ATLÉTICO CARIOCA;ATLÉTICO CARIOCA;;;
rio_de_janeiro;AUDAX RIO;AUDAX RIO;;;
rio_de_janeiro;BANGU;BANGU;;;
rio_de_janeiro;BARCELONA;BARCELONA;;;
rio_de_janeiro;BARRA DA TIJUCA;BARRA DA TIJUCA;;;
rio_de_janeiro;BARRA MANSA;BARRA MANSA;;;
rio_de_janeiro;BELA VISTA;BELA VISTA;;;
rio_de_janeiro;BELFORD ROXO;BELFORD ROXO;;;
rio_de_janeiro;BOAVISTA;BOAVISTA;;;
rio_de_janeiro;BONSUCESSO;BONSUCESSO;;;
rio_de_janeiro;BOTAFOGO;BOTAFOGO;;;
rio_de_janeiro;BRASILEIRINHO;BRASILEIRINHO;;;
rio_de_janeiro;BRÉSCIA;BRÉSCIA;;;
rio_de_janeiro;BÚZIOS;BÚZIOS;;;
rio_de_janeiro;CAAC BRASIL;CAAC BRASIL;;;
rio_de_janeiro;CABOFRIENSE;CABOFRIENSE;;;
rio_de_janeiro;CAMPO GRANDE;CAMPO GRANDE;;;
rio_de_janeiro;CAMPOS;CAMPOS;;;
rio_de_janeiro;CARAPEBUS;CARAPEBUS;;;
rio_de_janeiro;CASIMIRO DE ABREU;CASIMIRO DE ABREU;;;
rio_de_janeiro;CERES;CERES;;;
rio_de_janeiro;DUQUE CAXIENSE;DUQUE CAXIENSE;;;
rio_de_janeiro;DUQUE DE CAXIAS;DUQUE DE CAXIAS;;;
rio_de_janeiro;FLAMENGO;FLAMENGO;;;
rio_de_janeiro;FLUMINENSE;FLUMINENSE;;;
rio_de_janeiro;FRIBURGUENSE;FRIBURGUENSE;;;
rio_de_janeiro;GONÇALENSE;GONÇALENSE;;;
rio_de_janeiro;GOYTACAZ;GOYTACAZ;;;
rio_de_janeiro;IMPÉRIO SERRANO;IMPÉRIO SERRANO;;;
rio_de_janeiro;INDEPENDENTE;INDEPENDENTE;;;
rio_de_janeiro;ITABORAÍ PROFUTE;ITABORAÍ PROFUTE;;;
rio_de_janeiro;JUVENTUS;JUVENTUS;;;
rio_de_janeiro;MACAÉ;MACAÉ;;;
rio_de_janeiro;MADUREIRA;MADUREIRA;;;
rio_de_janeiro;MAGEENSE;MAGEENSE;;;
rio_de_janeiro;MARICÁ;MARICÁ;;;
rio_de_janeiro;MESQUITA;MESQUITA;;;
rio_de_janeiro;NITEROIENSE;NITEROIENSE;;;
rio_de_janeiro;NOVA CIDADE;NOVA CIDADE;;;
rio_de_janeiro;NOVA IGUAÇU;NOVA IGUAÇU;;;
rio_de_janeiro;OLARIA;OLARIA;;;
rio_de_janeiro;PADUANO;PADUANO;;;
rio_de_janeiro;PARATY;PARATY;;;
rio_de_janeiro;PARAÍBA DO SUL;PARAÍBA DO SUL;;;
rio_de_janeiro;PETRÓPOLIS;PETRÓPOLIS;;;
rio_de_janeiro;PORTUGUESA;PORTUGUESA;;;
rio_de_janeiro;PÉROLAS NEGRAS;PÉROLAS NEGRAS;;;
rio_de_janeiro;QUEIMADOS;QUEIMADOS;;;
rio_de_janeiro;RESENDE;RESENDE;;;
rio_de_janeiro;RIO DE JANEIRO;RIO DE JANEIRO;;;
rio_de_janeiro;RIO SÃO PAULO;RIO SÃO PAULO;;;
rio_de_janeiro;RIOSTRENSE;RIOSTRENSE;;;
rio_de_janeiro;SAMPAIO CORRÊA;SAMPAIO CORRÊA;;;
rio_de_janeiro;SANTA CRUZ;SANTA CRUZ;;;
rio_de_janeiro;SERRA MACAENSE;SERRA MACAENSE;;;
rio_de_janeiro;SERRANO;SERRANO;;;
rio_de_janeiro;SÃO CRISTÓVÃO;SÃO CRISTÓVÃO;;;
rio_de_janeiro;SÃO GONÇALO;SÃO GONÇALO;;;
rio_de_janeiro;SÃO JOSÉ DE ITAPERUNA;SÃO JOSÉ DE ITAPERUNA;;;
rio_de_janeiro;TIGRES DO BRASIL;TIGRES DO BRASIL;;;
rio_de_janeiro;UNI SOUZA;UNI SOUZA;;;
rio_de_janeiro;UNIVASSOURAS ARTSUL;UNIVASSOURAS ARTSUL;;;
rio_de_janeiro;UNIÃO CENTRAL;UNIÃO CENTRAL;;;
rio_de_janeiro;VASCO;VASCO;;;
rio_de_janeiro;VASCO DA GAMA;VASCO DA GAMA;;;
rio_de_janeiro;VERA CRUZ;VERA CRUZ;;;
rio_de_janeiro;VOLTA REDONDA;VOLTA REDONDA;;;
rio_de_janeiro;ZINZA;ZINZA;;;
rio_grande_do_norte;ABC;ABC;;;
rio_grande_do_norte;ALECRIM;ALECRIM;;;
rio_grande_do_norte;AMÉRICA;AMÉRICA;;;
rio_grande_do_norte;ASSU;ASSU;;;
rio_grande_do_norte;BARAÚNAS;BARAÚNAS;;;
rio_grande_do_norte;FORÇA E LUZ;FORÇA E LUZ;;;
rio_grande_do_norte;GLOBO;GLOBO;;;
rio_grande_do_norte;LAGUNA;LAGUNA;;;
rio_grande_do_norte;MOSSORÓ;MOSSORÓ;;;
rio_grande_do_norte;PALMEIRA DE GOIANINHA;PALMEIRA DE GOIANINHA;;;
rio_grande_do_norte;PARNAMIRIM;PARNAMIRIM;;;
rio_grande_do_norte;POTENGI;POTENGI;;;
rio_grande_do_norte;POTIGUAR;POTIGUAR;;;
rio_grande_do_norte;POTYGUAR SERIDOENSE;POTYGUAR SERIDOENSE;;;
rio_grande_do_norte;QFC;QFC;;;
rio_grande_do_norte;RIACHUELO;RIACHUELO;;;
rio_grande_do_norte;RIO GRANDE;RIO GRANDE;;;
rio_grande_do_norte;SANTA CRUZ DE NATAL;SANTA CRUZ DE NATAL;;;
rio_grande_do_norte;UNIVAP APODI;UNIVAP APODI;;;
rio_grande_do_norte;VISÃO CELESTE;VISÃO CELESTE;;;
rio_grande_do_sul;12 HORAS;12 HORAS;;;
rio_grande_do_sul;AIMORÉ;AIMORÉ;;;
rio_grande_do_sul;APAFUT;APAFUT;;;
rio_grande_do_sul;ATLÉTICO;ATLÉTICO;;;
rio_grande_do_sul;AVENIDA;AVENIDA;;;
rio_grande_do_sul;BAGÉ;BAGÉ;;;
rio_grande_do_sul;BRASIL;BRASIL;;;
rio_grande_do_sul;BRASIL DE FARROUPILHA;BRASIL DE FARROUPILHA;;;
rio_grande_do_sul;CAXIAS;CAXIAS;;;
rio_grande_do_sul;CLUBE 1992;CLUBE 1992;;;
rio_grande_do_sul;CRUZEIRO;CRUZEIRO;;;
rio_grande_do_sul;ELITE CD;ELITE CD;;;
rio_grande_do_sul;ESPORTIVO;ESPORTIVO;;;
rio_grande_do_sul;FARROUPILHA;FARROUPILHA;;;
rio_grande_do_sul;FUTEBOL COM VIDA;FUTEBOL COM VIDA;;;
rio_grande_do_sul;GARIBALDI;GARIBALDI;;;
rio_grande_do_sul;GAÚCHO;GAÚCHO;;;
rio_grande_do_sul;GE BRASIL;GE BRASIL;;;
rio_grande_do_sul;GLÓRIA;GLÓRIA;;;
rio_grande_do_sul;GRAMADENSE;GRAMADENSE;;;
rio_grande_do_sul;GRÊMIO;GRÊMIO;;;
rio_grande_do_sul;GRÊMIO B;GRÊMIO B;;;
rio_grande_do_sul;GRÊMIO S23;GRÊMIO S23;;;
rio_grande_do_sul;GUARANI V. AIRES;GUARANI V. AIRES;;;
rio_grande_do_sul;GUARANY;GUARANY;;;
rio_grande_do_sul;GUARANY DE BAGÉ;GUARANY DE BAGÉ;;;
rio_grande_do_sul;IGREJINHA;IGREJINHA;;;
rio_grande_do_sul;INTER SM;INTER SM;;;
rio_grande_do_sul;INTERNACIONAL;INTERNACIONAL;;;
rio_grande_do_sul;INTERNACIONAL B;INTERNACIONAL B;;;
rio_grande_do_sul;JUVENTUDE;JUVENTUDE;;;
rio_grande_do_sul;JUVENTUDE B;JUVENTUDE B;;;
rio_grande_do_sul;LAJEADENSE;LAJEADENSE;;;
rio_grande_do_sul;MARAU;MARAU;;;
rio_grande_do_sul;MONSOON;MONSOON;;;
rio_grande_do_sul;NOVA PRATA;NOVA PRATA;;;
rio_grande_do_sul;NOVO HAMBURGO;NOVO HAMBURGO;;;
rio_grande_do_sul;NOVO HORIZONTE;NOVO HORIZONTE;;;
rio_grande_do_sul;PASSO FUNDO;PASSO FUNDO;;;
rio_grande_do_sul;PELOTAS;PELOTAS;;;
rio_grande_do_sul;PRS;PRS;;;
rio_grande_do_sul;REAL SPORT CLUB;REAL SPORT CLUB;;;
rio_grande_do_sul;RIO GRANDE;RIO GRANDE;;;
rio_grande_do_sul;RIOGRANDENSE;RIOGRANDENSE;;;
rio_grande_do_sul;RIOPARDENSE;RIOPARDENSE;;;
rio_grande_do_sul;SANTA CRUZ;SANTA CRUZ;;;
rio_grande_do_sul;SANTO ÂNGELO;SANTO ÂNGELO;;;
rio_grande_do_sul;SAPUCAIENSE;SAPUCAIENSE;;;
rio_grande_do_sul;SER CRUZ ALTA;SER CRUZ ALTA;;;
rio_grande_do_sul;SÃO BORJA;SÃO BORJA;;;
rio_grande_do_sul;SÃO GABRIEL;SÃO GABRIEL;;;
rio_grande_do_sul;SÃO JOSÉ;SÃO JOSÉ;;;
rio_grande_do_sul;SÃO LUIZ;SÃO LUIZ;;;
rio_grande_do_sul;SÃO PAULO;SÃO PAULO;;;
rio_grande_do_sul;TRÊS PASSOS;TRÊS PASSOS;;;
rio_grande_do_sul;UNIÃO FREDERIQUENSE;UNIÃO FREDERIQUENSE;;;
rio_grande_do_sul;UNIÃO HARMONIA;UNIÃO HARMONIA;;;
rio_grande_do_sul;YPIRANGA;YPIRANGA;;;
rondonia;BARCELONA;BARCELONA;;;
rondonia;GAZIN PORTO VELHO;GAZIN PORTO VELHO;;;
rondonia;GENUS;GENUS;;;
rondonia;GUAJARÁ;GUAJARÁ;;;
rondonia;GUAPORÉ;GUAPORÉ;;;
rondonia;JI-PARANÁ;JI-PARANÁ;;;
rondonia;PIMENTENSE;PIMENTENSE;;;
rondonia;PORTO VELHO;PORTO VELHO;;;
rondonia;PORTO VELHO ESPORTE CLUBE;PORTO VELHO ESPORTE CLUBE;;;
rondonia;REAL ARIQUEMES;REAL ARIQUEMES;;;
rondonia;ROLIM DE MOURA;ROLIM DE MOURA;;;
rondonia;RONDONIENSE;RONDONIENSE;;;
rondonia;UNIÃO CACOALENSE;UNIÃO CACOALENSE;;;
rondonia;VILHENA;VILHENA;;;
rondonia;VILHENENSE;VILHENENSE;;;
roraima;ATLÉTICO RORAIMA;ATLÉTICO RORAIMA;;;
roraima;BARÉ;BARÉ;;;
roraima;G.A.S;G.A.S;;;
roraima;GAS;GAS;;;
roraima;MONTE RORAIMA;MONTE RORAIMA;;;
roraima;NÁUTICO;NÁUTICO;;;
roraima;PROGRESSO;PROGRESSO;;;
roraima;REAL;REAL;;;
roraima;RIO NEGRO;RIO NEGRO;;;
roraima;RIVER;RIVER;;;
roraima;SAMPAIO;SAMPAIO;;;
roraima;SÃO RAIMUNDO;SÃO RAIMUNDO;;;
santa_catarina;ATLÉTICO BATISTENSE;ATLÉTICO BATISTENSE;;;
santa_catarina;ATLÉTICO CATARINENSE;ATLÉTICO CATARINENSE;;;
santa_catarina;ATLÉTICO ITAJAÍ;ATLÉTICO ITAJAÍ;;;
santa_catarina;ATLÉTICO TUBARÃO;ATLÉTICO TUBARÃO;;;
santa_catarina;AVAÍ;AVAÍ;;;
santa_catarina;AVAÍ B;AVAÍ B;;;
santa_catarina;BARRA;BARRA;;;
santa_catarina;BLUMENAU;BLUMENAU;;;
santa_catarina;BRUSQUE;BRUSQUE;;;
santa_catarina;CAMBORIÚ;CAMBORIÚ;;;
santa_catarina;CANOINHAS;CANOINHAS;;;
santa_catarina;CARAVAGGIO;CARAVAGGIO;;;
santa_catarina;CARLOS RENAUX;CARLOS RENAUX;;;
santa_catarina;CAÇADOR;CAÇADOR;;;
santa_catarina;CHAPECOENSE;CHAPECOENSE;;;
santa_catarina;CHAPECOENSE B;CHAPECOENSE B;;;
santa_catarina;CONCORDIA ATLÉTICO CLUBE;CONCORDIA ATLÉTICO CLUBE;;;
santa_catarina;CONCÓRDIA;CONCÓRDIA;;;
santa_catarina;CRICIÚMA;CRICIÚMA;;;
santa_catarina;CRICIÚMA B;CRICIÚMA B;;;
santa_catarina;FIGUEIRENSE;FIGUEIRENSE;;;
santa_catarina;FLUMINENSE DE JOINVILLE;FLUMINENSE DE JOINVILLE;;;
santa_catarina;GUARANI;GUARANI;;;
santa_catarina;HERCÍLIO LUZ;HERCÍLIO LUZ;;;
santa_catarina;IMBITUBA;IMBITUBA;;;
santa_catarina;INTER DE LAGES;INTER DE LAGES;;;
santa_catarina;JARAGUÁ;JARAGUÁ;;;
santa_catarina;JOINVILLE;JOINVILLE;;;
santa_catarina;JUVENTUS;JUVENTUS;;;
santa_catarina;JUVENTUS JARAGUÁ;JUVENTUS JARAGUÁ;;;
santa_catarina;MARCÍLIO DIAS;MARCÍLIO DIAS;;;
santa_catarina;METROPOLITANO;METROPOLITANO;;;
santa_catarina;NAVEGANTES;NAVEGANTES;;;
santa_catarina;NAÇÃO;NAÇÃO;;;
santa_catarina;ORLEANS;ORLEANS;;;
santa_catarina;PEDRA BRANCA;PEDRA BRANCA;;;
santa_catarina;PORTO;PORTO;;;
santa_catarina;PRÓSPERA;PRÓSPERA;;;
santa_catarina;SANTA CATARINA;SANTA CATARINA;;;
santa_catarina;TUBARÃO;TUBARÃO;;;
sao_paulo;AMPARO;AMPARO;;;
sao_paulo;AMÉRICA;AMÉRICA;;;
sao_paulo;ANDRADINA;ANDRADINA;;;
sao_paulo;ARAÇATUBA;ARAÇATUBA;;;
sao_paulo;ASSISENSE;ASSISENSE;;;
sao_paulo;ATIBAIA;ATIBAIA;;;
sao_paulo;ATLÉTICO MOGI;ATLÉTICO MOGI;;;
sao_paulo;BANDEIRANTE;BANDEIRANTE;;;
sao_paulo;BARCELONA ESPORTIVO;BARCELONA ESPORTIVO;;;
sao_paulo;BARRETOS;BARRETOS;;;
sao_paulo;BATATAIS;BATATAIS;;;
sao_paulo;BOTAFOGO;BOTAFOGO;;;
sao_paulo;BRASILIS;BRASILIS;;;
sao_paulo;CA VOTUPORANGUENSE;CA VOTUPORANGUENSE;;;
sao_paulo;CAPIVARIANO;CAPIVARIANO;;;
sao_paulo;CATANDUVA;CATANDUVA;;;
sao_paulo;COLORADO CAIEIRAS;COLORADO CAIEIRAS;;;
sao_paulo;COMERCIAL;COMERCIAL;;;
sao_paulo;CORINTHIANS;CORINTHIANS;;;
sao_paulo;DESPORTIVO BRASIL;DESPORTIVO BRASIL;;;
sao_paulo;ECUS;ECUS;;;
sao_paulo;ELOSPORT CAPÃO BONITO;ELOSPORT CAPÃO BONITO;;;
sao_paulo;FERNANDÓPOLIS;FERNANDÓPOLIS;;;
sao_paulo;FERROVIÁRIA;FERROVIÁRIA;;;
sao_paulo;FLAMENGO;FLAMENGO;;;
sao_paulo;FRANCANA;FRANCANA;;;
sao_paulo;GRÊMIO MAUAENSE;GRÊMIO MAUAENSE;;;
sao_paulo;GRÊMIO NOVORIZONTINO;GRÊMIO NOVORIZONTINO;;;
sao_paulo;GRÊMIO OSASCO;GRÊMIO OSASCO;;;
sao_paulo;GRÊMIO PRUDENTE;GRÊMIO PRUDENTE;;;
sao_paulo;GRÊMIO SÃO-CARLENSE;GRÊMIO SÃO-CARLENSE;;;
sao_paulo;GUARANI;GUARANI;;;
sao_paulo;GUARULHOS;GUARULHOS;;;
sao_paulo;INDEPENDENTE DE LIMEIRA;INDEPENDENTE DE LIMEIRA;;;
sao_paulo;INTER DE BEBEDOURO;INTER DE BEBEDOURO;;;
sao_paulo;INTER DE LIMEIRA;INTER DE LIMEIRA;;;
sao_paulo;ITAPIRENSE;ITAPIRENSE;;;
sao_paulo;ITARARÉ;ITARARÉ;;;
sao_paulo;ITUANO;ITUANO;;;
sao_paulo;JABAQUARA;JABAQUARA;;;
sao_paulo;JOSEENSE;JOSEENSE;;;
sao_paulo;JUVENTUS;JUVENTUS;;;
sao_paulo;LEMENSE;LEMENSE;;;
sao_paulo;LINENSE;LINENSE;;;
sao_paulo;MANTHIQUEIRA;MANTHIQUEIRA;;;
sao_paulo;MARÍLIA;MARÍLIA;;;
sao_paulo;MATONENSE;MATONENSE;;;
sao_paulo;MAUÁ;MAUÁ;;;
sao_paulo;MIRASSOL;MIRASSOL;;;
sao_paulo;MOGI MIRIM;MOGI MIRIM;;;
sao_paulo;MONTE AZUL;MONTE AZUL;;;
sao_paulo;NACIONAL;NACIONAL;;;
sao_paulo;NOROESTE;NOROESTE;;;
sao_paulo;NOVORIZONTINO;NOVORIZONTINO;;;
sao_paulo;OESTE;OESTE;;;
sao_paulo;OLÍMPIA;OLÍMPIA;;;
sao_paulo;OSASCO;OSASCO;;;
sao_paulo;OSASCO AUDAX;OSASCO AUDAX;;;
sao_paulo;OSVALDO CRUZ;OSVALDO CRUZ;;;
sao_paulo;PALMEIRAS;PALMEIRAS;;;
sao_paulo;PAULISTA;PAULISTA;;;
sao_paulo;PENAPOLENSE;PENAPOLENSE;;;
sao_paulo;PONTE PRETA;PONTE PRETA;;;
sao_paulo;PORTUGUESA;PORTUGUESA;;;
sao_paulo;PORTUGUESA SANTISTA;PORTUGUESA SANTISTA;;;
sao_paulo;PRIMAVERA;PRIMAVERA;;;
sao_paulo;RED BULL BRAGANTINO;RED BULL BRAGANTINO;;;
sao_paulo;RED BULL BRAGANTINO II;RED BULL BRAGANTINO II;;;
sao_paulo;RED BULL BRASIL;RED BULL BRASIL;;;
sao_paulo;RIO BRANCO;RIO BRANCO;;;
sao_paulo;RIO CLARO;RIO CLARO;;;
sao_paulo;RIO PRETO;RIO PRETO;;;
sao_paulo;SANTACRUZENSE;SANTACRUZENSE;;;
sao_paulo;SANTO ANDRÉ;SANTO ANDRÉ;;;
sao_paulo;SANTOS;SANTOS;;;
sao_paulo;SERTÃOZINHO;SERTÃOZINHO;;;
sao_paulo;SKA BRASIL;SKA BRASIL;;;
sao_paulo;SPORT ATIBAIA;SPORT ATIBAIA;;;
sao_paulo;SÃO BENTO;SÃO BENTO;;;
sao_paulo;SÃO BERNARDO;SÃO BERNARDO;;;
sao_paulo;SÃO CAETANO;SÃO CAETANO;;;
sao_paulo;SÃO CARLOS;SÃO CARLOS;;;
sao_paulo;SÃO JOSÉ;SÃO JOSÉ;;;
sao_paulo;SÃO PAULO;SÃO PAULO;;;
sao_paulo;TANABI;TANABI;;;
sao_paulo;TAQUARITINGA;TAQUARITINGA;;;
sao_paulo;TAUBATÉ;TAUBATÉ;;;
sao_paulo;TUPÃ;TUPÃ;;;
sao_paulo;UNIÃO BARBARENSE;UNIÃO BARBARENSE;;;
sao_paulo;UNIÃO MOGI;UNIÃO MOGI;;;
sao_paulo;UNIÃO SUZANO;UNIÃO SUZANO;;;
sao_paulo;UNIÃO SÃO JOÃO;UNIÃO SÃO JOÃO;;;
sao_paulo;VELO CLUBE;VELO CLUBE;;;
sao_paulo;VOCEM;VOCEM;;;
sao_paulo;VOTUPORANGUENSE;VOTUPORANGUENSE;;;
sao_paulo;XV DE JAÚ;XV DE JAÚ;;;
sao_paulo;XV DE PIRACICABA;XV DE PIRACICABA;;;
sao_paulo;ÁGUA SANTA;ÁGUA SANTA;;;
sergipe;AD CARMÓPOLIS;AD CARMÓPOLIS;;;
sergipe;AMADENSE;AMADENSE;;;
sergipe;AMÉRICA;AMÉRICA;;;
sergipe;AMÉRICA DE PEDRINHAS;AMÉRICA DE PEDRINHAS;;;
sergipe;ARACAJU;ARACAJU;;;
sergipe;ATLÉTICO CENTRAL;ATLÉTICO CENTRAL;;;
sergipe;ATLÉTICO GLORIENSE;ATLÉTICO GLORIENSE;;;
sergipe;BARRA;BARRA;;;
sergipe;BOCA JÚNIOR;BOCA JÚNIOR;;;
sergipe;BOQUINHENSE;BOQUINHENSE;;;
sergipe;BOTAFOGO;BOTAFOGO;;;
sergipe;CANINDÉ;CANINDÉ;;;
sergipe;CONFIANÇA;CONFIANÇA;;;
sergipe;CORITIBA;CORITIBA;;;
sergipe;COTINGUIBA;COTINGUIBA;;;
sergipe;DESPORTIVA ARACAJU;DESPORTIVA ARACAJU;;;
sergipe;DORENSE;DORENSE;;;
sergipe;ESTANCIANO;ESTANCIANO;;;
sergipe;FALCON;FALCON;;;
sergipe;FLAMENGO;FLAMENGO;;;
sergipe;FORÇA JOVEM AQUIDABÃ;FORÇA JOVEM AQUIDABÃ;;;
sergipe;FREI PAULISTANO;FREI PAULISTANO;;;
sergipe;GUARANY;GUARANY;;;
sergipe;INDEPENDENTE;INDEPENDENTE;;;
sergipe;ITABAIANA;ITABAIANA;;;
sergipe;LAGARTO;LAGARTO;;;
sergipe;MARUINENSE;MARUINENSE;;;
sergipe;OLÍMPICO;OLÍMPICO;;;
sergipe;PROPRIÁ;PROPRIÁ;;;
sergipe;RIACHÃO;RIACHÃO;;;
sergipe;SANTA CRUZ RIACHUELO;SANTA CRUZ RIACHUELO;;;
sergipe;SERGIPE;SERGIPE;;;
sergipe;SETE DE JUNHO;SETE DE JUNHO;;;
sergipe;SOCORRENSE;SOCORRENSE;;;
sergipe;SOCORRO;SOCORRO;;;
tocantins;ALVORADA;ALVORADA;;;
tocantins;ARAGUACEMA;ARAGUACEMA;;;
tocantins;ARAGUAIA DE PALMAS;ARAGUAIA DE PALMAS;;;
tocantins;ARAGUAÍNA;ARAGUAÍNA;;;
tocantins;ARSENAL;ARSENAL;;;
tocantins;ATLÉTICO CERRADO;ATLÉTICO CERRADO;;;
tocantins;BATALHÃO;BATALHÃO;;;
tocantins;BELA VISTA;BELA VISTA;;;
tocantins;CAPITAL;CAPITAL;;;
tocantins;CENTRAL PARAÍSO;CENTRAL PARAÍSO;;;
tocantins;COLINAS;COLINAS;;;
tocantins;GUARAÍ;GUARAÍ;;;
tocantins;GURUPI;GURUPI;;;
tocantins;INTERPORTO;INTERPORTO;;;
tocantins;MIRANORTE;MIRANORTE;;;
tocantins;NOVA CONQUISTA;NOVA CONQUISTA;;;
tocantins;PALMAS;PALMAS;;;
tocantins;PARAÍSO;PARAÍSO;;;
tocantins;SPARTA;SPARTA;;;
tocantins;SÃO JOSÉ;SÃO JOSÉ;;;
tocantins;TAQUARUSSÚ;TAQUARUSSÚ;;;
tocantins;TOCANTINS MIRACEMA;TOCANTINS MIRACEMA;;;
tocantins;TOCANTINÓPOLIS;TOCANTINÓPOLIS;;;
tocantins;UNIÃO ATLÉTICA ARAGUAINENSE;UNIÃO ATLÉTICA ARAGUAINENSE;;;
tocantins;UNIÃO ATLÉTICO;UNIÃO ATLÉTICO;;;
tocantins;UNIÃO ATLÉTICO CLUBE;UNIÃO ATLÉTICO CLUBE;;;
tocantins;UNIÃO DE PALMAS;UNIÃO DE PALMAS;;;
